Timestamp,Emotion
2025-01-08 15:30:14,Sad
2025-01-08 15:30:15,Sad
2025-01-08 15:30:15,Sad
2025-01-08 15:30:15,Sad
2025-01-08 15:30:15,Sad
2025-01-08 15:30:16,Sad
2025-01-08 15:30:16,Happy
2025-01-08 15:30:16,Happy
2025-01-08 15:30:16,Happy
2025-01-08 15:30:16,Happy
2025-01-08 15:30:16,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:17,Happy
2025-01-08 15:30:18,Happy
2025-01-08 15:30:18,Happy
2025-01-08 15:30:18,Sad
2025-01-08 15:30:18,Sad
2025-01-08 15:30:18,Sad
2025-01-08 15:30:18,Sad
2025-01-08 15:30:18,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:19,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:20,Sad
2025-01-08 15:30:21,Sad
2025-01-08 15:30:21,Sad
2025-01-08 15:30:21,Sad
2025-01-08 15:30:21,Sad
2025-01-08 15:30:21,Sad
2025-01-08 15:30:21,Happy
2025-01-08 15:30:21,Sad
2025-01-08 15:30:22,Sad
2025-01-08 15:30:22,Sad
2025-01-08 15:30:22,Sad
2025-01-08 15:30:22,Happy
2025-01-08 15:30:22,Happy
2025-01-08 15:30:22,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:23,Happy
2025-01-08 15:30:24,Happy
2025-01-08 15:30:24,Happy
2025-01-08 15:30:24,Happy
2025-01-08 15:30:24,Happy
2025-01-08 15:30:24,Sad
2025-01-08 15:30:24,Sad
2025-01-08 15:30:24,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:25,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:26,Sad
2025-01-08 15:30:27,Sad
2025-01-08 15:30:27,Surprise
2025-01-08 15:30:27,Angry
2025-01-08 15:30:27,Angry
2025-01-08 15:30:27,Angry
2025-01-08 15:30:27,Surprise
2025-01-08 15:30:28,Surprise
2025-01-08 15:30:28,Surprise
2025-01-08 15:30:28,Angry
2025-01-08 15:30:28,Surprise
2025-01-08 15:30:28,Angry
2025-01-08 15:30:28,Angry
2025-01-08 15:30:29,Surprise
2025-01-08 15:30:29,Surprise
2025-01-08 15:30:29,Surprise
2025-01-08 15:30:29,Angry
2025-01-08 15:30:29,Angry
2025-01-08 15:30:29,Surprise
2025-01-08 15:30:30,Angry
2025-01-08 15:30:30,Angry
2025-01-08 15:30:30,Angry
2025-01-08 15:30:30,Angry
2025-01-08 15:30:30,Angry
2025-01-08 15:30:30,Surprise
2025-01-08 15:30:30,Angry
2025-01-08 15:30:31,Angry
2025-01-08 15:30:31,Surprise
2025-01-08 15:30:31,Sad
2025-01-08 15:30:31,Sad
2025-01-08 15:30:31,Sad
2025-01-08 15:30:31,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Sad
2025-01-08 15:30:32,Fear
2025-01-08 15:30:33,Sad
2025-01-08 15:30:33,Sad
2025-01-08 15:30:33,Sad
2025-01-08 15:30:33,Fear
2025-01-08 15:30:33,Fear
2025-01-08 15:30:33,Fear
2025-01-08 15:30:33,Sad
2025-01-08 15:30:34,Sad
2025-01-08 15:30:34,Sad
2025-01-08 15:30:34,Sad
2025-01-08 15:30:34,Sad
2025-01-08 15:30:34,Fear
2025-01-08 15:30:35,Sad
2025-01-08 15:30:35,Fear
2025-01-08 15:30:35,Sad
2025-01-08 15:30:35,Sad
2025-01-08 15:30:35,Sad
2025-01-08 15:30:35,Sad
2025-01-08 15:30:35,Sad
2025-01-08 15:30:36,Sad
2025-01-08 15:30:36,Sad
2025-01-08 15:30:36,Sad
2025-01-08 15:30:36,Sad
2025-01-08 15:30:36,Sad
2025-01-08 15:30:37,Sad
2025-01-08 15:30:37,Fear
2025-01-08 15:30:37,Sad
2025-01-08 15:30:37,Sad
2025-01-08 15:30:37,Sad
2025-01-08 15:30:37,Sad
2025-01-08 15:30:37,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:38,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:39,Sad
2025-01-08 15:30:40,Sad
2025-01-08 15:30:40,Sad
