Timestamp,Status
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:23,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:24,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:25,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:26,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:27,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:28,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
2025-01-07 14:43:29,Confident
